place,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,countyname
geoId/51001,10199,10070,9960,10053,9919,9605,9466,9093,8977,8861,Accomack County
geoId/51003,24731,24648,25078,25135,25281,25584,25459,25391,26265,27625,Albemarle County
geoId/51005,5629,5617,5413,5337,5337,5396,5225,5237,5032,5170,Alleghany County
geoId/51007,4049,3867,3843,3886,3824,3845,3928,4036,4181,4184,Amelia County
geoId/51009,9634,9614,9402,9373,9534,9434,9313,9349,9378,9408,Amherst County
geoId/51011,4417,4512,4654,4839,4794,4757,4817,4733,4737,4741,Appomattox County
geoId/51013,43096,42696,42654,43157,43697,44531,45525,45504,45752,46205,Arlington County
geoId/51015,22814,23005,22662,22813,22341,22601,22774,23110,23430,23938,Augusta County
geoId/51017,1633,1606,1600,1674,1495,1430,1365,1443,1357,1499,Bath County
geoId/51019,22704,22899,23157,24628,24850,25056,25167,25472,25712,26448,Bedford County
geoId/51021,2234,2031,2045,2078,2089,2107,2116,2087,1927,1919,Bland County
geoId/51023,11230,11217,11296,11366,11314,11442,11274,11353,11447,11291,Botetourt County
geoId/51025,4314,4257,4207,4335,4319,4391,4472,4336,4268,4545,Brunswick County
geoId/51027,7192,7339,7458,7576,7449,7163,7116,6925,6625,6602,Buchanan County
geoId/51029,4175,4301,4420,4431,4347,4351,4298,4385,4381,4391,Buckingham County
geoId/51031,16322,16504,16545,16761,16572,16897,16947,17271,17242,16916,Campbell County
geoId/51033,8664,8830,8553,8737,8855,8523,8668,8868,8669,8823,Caroline County
geoId/51035,9737,9872,9889,9846,9915,9849,9760,9526,9674,9619,Carroll County
geoId/51036,2339,2279,2294,2279,2344,2350,2415,2387,2430,2531,Charles City County
geoId/51037,3513,3621,3469,3416,3281,3154,3198,3156,3322,3295,Charlotte County
geoId/51041,88141,88028,87479,88056,89151,89857,91047,92822,94698,97590,Chesterfield County
geoId/51043,4269,4387,4447,4275,4195,4162,4176,4216,4209,4415,Clarke County
geoId/51045,1756,1772,1791,1733,1794,1678,1734,1636,1756,1575,Craig County
geoId/51047,11476,11654,11711,12039,12023,12118,12272,12539,12412,12829,Culpeper County
geoId/51049,3023,3103,3134,3070,2893,2977,2870,2892,2936,3128,Cumberland County
