place,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,countyname
geoId/51001,33701,33454,33289,33165,33115,33060,32840,32742,32673,32560,Accomack County
geoId/51003,97978,99484,100636,101883,103108,104287,105105,106355,107405,108819,Albemarle County
geoId/51005,16326,16297,16240,16133,16066,15919,15489,15286,15157,15030,Alleghany County
geoId/51007,12631,12674,12712,12764,12777,12793,12802,12854,12953,12970,Amelia County
geoId/51009,32339,32301,32244,32237,32148,31999,31819,31882,31775,31782,Amherst County
geoId/51011,14820,14952,15054,15137,15208,15314,15462,15577,15707,15814,Appomattox County
geoId/51013,202999,209077,214861,220173,223945,226092,229534,231803,233464,236434,Arlington County
geoId/51015,73526,73662,73726,73707,74053,74330,74390,74701,75079,75754,Augusta County
geoId/51017,4747,4713,4686,4644,4583,4558,4458,4393,4307,4248,Bath County
geoId/51019,68275,68750,69175,75607,76463,76933,77319,77908,78376,78965,Bedford County
geoId/51021,6871,6827,6795,6727,6662,6612,6524,6447,6388,6334,Bland County
geoId/51023,32956,33074,33076,33105,33155,33192,33149,33222,33343,33440,Botetourt County
geoId/51025,17553,17372,17220,16961,16930,16573,16435,16665,16520,16336,Brunswick County
geoId/51027,24173,24071,23920,23683,23486,23158,22611,22138,21788,21374,Buchanan County
geoId/51029,17021,17071,17126,17072,17068,17030,17048,17004,17059,17087,Buckingham County
geoId/51031,54485,54797,54967,54833,55012,55061,55158,55170,55225,55406,Campbell County
geoId/51033,28234,28510,28757,29057,29349,29640,29889,30184,30381,30581,Caroline County
geoId/51035,30002,29989,29979,29881,29856,29733,29767,29738,29801,29911,Carroll County
geoId/51036,7223,7226,7205,7154,7118,7086,7022,6995,7014,6965,Charles City County
geoId/51037,12601,12546,12478,12399,12313,12232,12176,12095,12040,11953,Charlotte County
geoId/51041,313001,316895,320430,324337,328176,331839,335594,339447,343551,348500,Chesterfield County
geoId/51043,14081,14143,14191,14273,14299,14307,14331,14365,14423,14498,Clarke County
geoId/51045,5158,5186,5199,5206,5212,5195,5131,5113,5110,5103,Craig County
geoId/51047,46427,46894,47330,47910,48424,48952,49795,50450,51101,51935,Culpeper County
geoId/51049,9928,9951,9943,9916,9859,9769,9797,9786,9824,9869,Cumberland County
geoId/51051,15923,15877,15749,15612,15463,15304,15181,14960,14756,14524,Dickenson County
geoId/51053,27714,27926,27977,27993,28110,28155,28033,28308,28485,28686,Dinwiddie County
geoId/51057,11029,11130,11180,11166,11151,11130,11083,11036,10998,10960,Essex County
geoId/51059,1064735,1083770,1101071,1117072,1128722,1132887,1142004,1143529,1145862,1149439,Fairfax County
geoId/51061,65008,65495,66015,66726,67463,68025,68406,69115,69728,70353,Fauquier County
geoId/51063,15156,15268,15371,15452,15523,15587,15594,15666,15704,15766,Floyd County
geoId/51065,25599,25749,25860,25945,26014,26046,26109,26282,26594,26873,Fluvanna County
geoId/51067,55621,56012,56195,56360,56315,56230,56277,56233,56187,56231,Franklin County
geoId/51069,77277,78397,79453,80377,81340,82321,83784,85153,86415,88054,Frederick County
geoId/51071,17197,17149,17111,17025,16907,16871,16867,16814,16772,16760,Giles County
geoId/51073,36741,36821,36868,36938,37001,37021,37035,37161,37222,37362,Gloucester County
geoId/51075,21481,21496,21565,21627,21721,21979,22148,22482,22865,23472,Goochland County
geoId/51077,15702,15535,15377,15255,15573,15180,15708,15811,15742,15651,Grayson County
geoId/51079,18291,18453,18577,18766,18938,19085,19213,19410,19519,19734,Greene County
geoId/51081,12194,12127,12078,11911,11760,11698,11606,11659,11525,11403,Greensville County
geoId/51083,36248,36140,35938,35704,35506,35305,35030,34779,34552,34295,Halifax County
geoId/51085,99638,99964,100328,100689,101340,102199,103218,104449,105537,106538,Hanover County
geoId/51087,303845,307576,311314,314878,318864,321921,324073,325642,327535,330076,Henrico County
