place,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,countyname
geoId/51001,3558,4216,4373,4236,4042,4214,4062,4308,4461,4780,Accomack County
geoId/51003,12667,12901,12886,13402,13572,13847,14556,15221,15231,14756,Albemarle County
geoId/51005,1306,1234,1360,1377,1444,1449,1641,1504,1568,1359,Alleghany County
geoId/51007,952,910,965,875,880,695,771,753,773,850,Amelia County
geoId/51009,3059,3069,3278,3204,2968,2872,2797,2695,2782,2753,Amherst County
geoId/51011,1440,1390,1149,1125,1137,1215,1131,1362,1354,1417,Appomattox County
geoId/51013,49340,50296,51800,53107,54744,56176,56785,59212,61280,62399,Arlington County
geoId/51015,5207,5292,5337,5311,5809,5824,6016,6187,6109,6227,Augusta County
geoId/51017,293,402,501,551,651,674,482,556,444,332,Bath County
geoId/51019,4275,4118,4076,5494,5741,5765,5760,5734,5605,4976,Bedford County
geoId/51021,429,433,435,513,525,454,445,436,440,407,Bland County
geoId/51023,1559,1605,1529,1501,1599,1863,1964,1808,1817,1880,Botetourt County
geoId/51025,1812,1772,1619,1530,1597,1757,1576,1712,1769,1593,Brunswick County
geoId/51027,1943,2045,2027,1830,1993,1961,1906,1946,1944,1668,Buchanan County
geoId/51029,1524,1427,1397,1371,1256,1338,1407,1442,1445,1557,Buckingham County
geoId/51031,5288,5077,5229,4967,5219,5397,5661,5686,5829,6241,Campbell County
geoId/51033,1812,1819,2127,1991,2115,2442,2147,2043,2277,2155,Caroline County
geoId/51035,2819,2750,2683,2662,2633,2793,2757,2849,2683,2515,Carroll County
geoId/51036,408,498,556,553,539,504,484,469,466,467,Charles City County
geoId/51037,1021,1182,1282,1275,1442,1440,1295,1387,1339,1541,Charlotte County
geoId/51041,24754,25062,26158,26949,27646,29051,29860,30188,30273,29640,Chesterfield County
geoId/51043,1295,1193,1133,1344,1331,1429,1392,1423,1403,1275,Clarke County
geoId/51045,220,301,331,418,420,636,610,630,541,644,Craig County
geoId/51047,4274,4172,4328,4397,4492,4786,4565,4364,4659,4645,Culpeper County
geoId/51049,953,913,915,968,1119,1108,1102,1071,1039,984,Cumberland County
geoId/51051,1348,1370,1392,1364,1400,1514,1466,1385,1404,1429,Dickenson County
geoId/51053,2156,2379,2325,2489,2322,2544,2365,2491,2374,2370,Dinwiddie County
geoId/51057,1041,1042,1021,1104,1143,1270,1317,1355,1499,1451,Essex County
geoId/51059,111787,117524,120741,124638,126662,128007,126673,126101,126973,125225,Fairfax County
geoId/51061,4905,4815,4600,4745,4921,5230,5178,5316,5333,5678,Fauquier County
geoId/51063,1391,1351,1366,1295,1399,1400,1238,1154,1226,931,Floyd County
geoId/51065,1206,1165,1368,1637,1767,2025,1883,1586,1491,1752,Fluvanna County
geoId/51067,4886,5242,5128,5176,5239,4767,4810,4657,4199,4181,Franklin County
geoId/51069,6147,5984,6320,6502,6445,6548,6875,6908,7053,7155,Frederick County
geoId/51071,1560,1610,1725,1771,1731,1824,1788,1624,1723,1587,Giles County
geoId/51073,2212,2235,2370,2697,2998,3381,3368,3498,3217,2962,Gloucester County
geoId/51075,565,662,787,1018,1060,1144,1071,1269,1286,1245,Goochland County
geoId/51077,1348,1525,1478,1607,1736,1416,1415,1358,1216,1021,Grayson County
geoId/51079,1363,1537,1449,1612,1599,1561,1408,1459,1691,1430,Greene County
geoId/51081,904,983,821,915,991,890,895,990,974,968,Greensville County
geoId/51083,3461,3829,4098,3898,3956,4112,3864,3549,3664,3563,Halifax County
geoId/51085,5894,5901,6147,6551,7115,7094,7138,7086,6813,6707,Hanover County
geoId/51087,41481,42199,42993,44756,46248,46872,46804,47408,47975,46986,Henrico County
geoId/51089,5830,5516,5771,5815,5704,5883,5941,5969,5956,5891,Henry County
geoId/51091,220,171,138,156,188,164,169,203,184,125,Highland County
geoId/51093,2540,2656,2634,2840,3020,3051,3218,3612,3532,3391,Isle of Wight County
geoId/51095,6356,6273,6393,7049,7016,7044,7293,7332,6827,6972,James City County
geoId/51097,566,663,680,711,698,593,598,464,446,434,King and Queen County
geoId/51099,2067,2034,2200,2201,2259,2320,2192,2089,1955,2250,King George County
geoId/51101,1004,1014,1016,1096,1105,966,846,849,768,742,King William County
geoId/51103,1272,1086,1076,1299,1290,1275,1362,1252,1222,1277,Lancaster County
geoId/51105,2501,2456,2476,2643,2539,2627,2607,2684,2672,2713,Lee County
geoId/51107,20774,22719,23897,25385,25971,26417,26862,27796,28237,29546,Loudoun County
geoId/51109,2914,2552,2624,2414,2625,2858,2730,2757,2768,2976,Louisa County
geoId/51111,1204,1155,1128,1205,1190,1351,1253,1243,1211,1285,Lunenburg County
geoId/51113,1075,1055,992,1111,1368,1385,1358,1364,1264,1094,Madison County
geoId/51115,642,786,778,710,654,591,518,502,589,634,Mathews County
geoId/51117,3201,3438,3368,3449,3240,3406,3282,3558,3495,3409,Mecklenburg County
geoId/51119,800,740,794,741,729,796,863,869,982,1018,Middlesex County
geoId/51121,15549,15888,15777,15953,16106,16571,16057,15953,15927,15770,Montgomery County
geoId/51125,1632,1464,1548,1666,1771,1729,1838,1658,1515,1593,Nelson County
geoId/51127,599,700,759,853,1059,1202,1373,1148,1075,815,New Kent County
geoId/51131,1588,1538,1616,1575,1634,1663,1833,1780,1792,1907,Northampton County
geoId/51133,943,845,852,939,955,786,857,834,603,605,Northumberland County
geoId/51135,1800,1763,1999,2031,1938,2098,2315,2146,1924,1820,Nottoway County
