areaname,category,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
"Accomack County, VA",Ordinary Town,804.8,774,847.6,766.4,833.8,817.4,805.4,810.8,675.2,649.8
"Charlottesville, VA MSA",College Town,1342.6,1399,1241.6,1175.6,1206.8,1078.8,1047.8,1142.2,1086.4,982.8
"Alleghany County-Clifton Forge city-Covington city, VA HUD Nonmet",College Town,782.6,728,717.8,673.8,705.8,768.2,703.4,713.6,537.2,583.8
"Staunton-Waynesboro, VA MSA",College Town,953.4,910.8,903.2,868.2,790,881.4,791,736.2,702.8,769.6
"Bath County, VA",Ordinary Town,774.8,768.4,749.8,699.2,726.6,719.6,684.2,704.4,625.4,732.4
"Bland County, VA",Ordinary Town,754.4,743.2,736,676.8,697,707.6,678.8,689,583,633.6
"Brunswick County, VA",College Town,826.6,869,853.2,855,758.8,759.8,677.4,716,612.8,689.6
"Buchanan County, VA",Ordinary Town,737.4,720.8,714,669.8,698.8,672.8,645.6,655.4,583,633.6
"Buckingham County, VA",Ordinary Town,838.8,878,813,772.6,821.8,758.2,763,738.2,610.4,663.4
"Caroline County, VA",Ordinary Town,1197.6,1204.4,1176.6,1132.2,1085.8,1103.2,1093.2,1087.6,991.8,1082
"Carroll County-Galax city, VA HUD Nonmetro FMR Area",Ordinary Town,780,755.8,763.8,710.4,746.4,733,703.4,713.8,569.8,619.2
"Charlotte County, VA",Ordinary Town,726.2,711.2,706.2,655.8,677,677.6,650.2,659.8,610.4,663.4
"Culpeper County, VA HUD Metro FMR Area",Ordinary Town,1151.2,1150.2,1209.4,1166.6,1097.8,1094.4,925.8,1065.4,824.8,848.4
"Cumberland County, VA",Ordinary Town,1040.8,1022.2,972.6,845,884.4,1103.2,1093.2,1087.6,991.8,1082
"Dickenson County, VA",Ordinary Town,786.2,769.8,759,683,720.8,650,623.8,633.2,581.4,631.6
"Essex County, VA",Ordinary Town,986.6,987.8,991,957,877.8,941.6,902.6,865.6,719.2,752.8
"Floyd County, VA",Ordinary Town,846.8,827.6,791.6,721.4,719.8,684.8,657,666.8,636.6,767.2
"Franklin County, VA HUD Metro FMR Area",Ordinary Town,732.4,724,776,803.8,744.8,678.4,651.2,672.2,597.4,575.8
"Winchester, VA-WV MSA",College Town,1151.8,1078.8,1065.6,1181.6,1050.8,907.2,890.4,929.2,946.4,823
"Giles County, VA HUD Metro FMR Area",Ordinary Town,777.8,753.2,761.4,718.6,726.6,735.4,705.6,716.2,598.4,650.2
"Grayson County, VA",Ordinary Town,771.8,759,757.8,694.8,719.8,738.4,708.4,719,583,633.6
